Date,DayOfWeek,Time,Computers,Silent,Quiet,Active,Other,Total,timestamp
2021-06-07,Monday,7:30 AM,1,0,0,0,0,1,06-07-2021 7:34:02
2021-06-07,Monday,8:30 AM,3,0,0,0,0,3,06-07-2021 8:31:35
2021-06-07,Monday,9:30 AM,4,0,1,0,1,6,06-07-2021 9:30:40
2021-06-07,Monday,10:30 AM,3,0,1,0,3,7,06-07-2021 10:32:58
2021-06-07,Monday,11:30 AM,3,0,1,0,0,4,06-07-2021 11:31:53
2021-06-07,Monday,12:30 PM,4,0,1,4,1,10,06-07-2021 12:32:33
2021-06-07,Monday,1:30 PM,7,0,0,1,0,8,06-07-2021 1:33:04
2021-06-07,Monday,2:30 PM,4,0,1,0,0,5,06-07-2021 2:32:30
2021-06-07,Monday,3:30 PM,7,0,1,0,0,8,06-07-2021 3:32:17
2021-06-07,Monday,4:30 PM,6,1,2,0,1,10,06-07-2021 4:34:11
2021-06-07,Monday,5:30 PM,4,1,3,0,1,9,06-07-2021 5:29:56
2021-06-07,Monday,6:30 PM,3,1,3,0,1,8,06-07-2021 6:33:25
