Date,Time,Computers,Tables,StudySpaces,QuietArea,Alcove,Total,timestamp
2021-08-16,7:30 PM,2,1,0,2,1,6,08-16-2021 7:48:23
2021-08-17,6:30 PM,3,0,0,1,0,4,08-17-2021 6:48:05
2021-08-17,7:30 PM,1,0,0,1,0,2,08-17-2021 7:33:01
2021-08-17,8:30 PM,1,0,0,1,0,2,08-17-2021 8:26:23
2021-08-18,5:30 PM,5,0,1,1,2,9,08-18-2021 5:47:36
2021-08-18,6:30 PM,3,0,0,1,0,4,08-18-2021 6:30:11
2021-08-18,7:30 PM,2,0,0,1,0,3,08-18-2021 7:33:46
2021-08-18,8:30 PM,0,0,0,0,0,0,08-18-2021 8:49:17
2021-08-19,5:30 PM,9,0,0,2,3,14,08-19-2021 5:26:24
2021-08-19,6:30 PM,2,1,0,4,1,8,08-19-2021 6:32:33
2021-08-19,7:30 PM,6,1,0,2,1,10,08-19-2021 7:46:08
2021-08-19,8:30 PM,0,0,0,3,0,3,08-19-2021 8:34:14
2021-08-21,12:30 PM,5,0,0,1,0,6,08-21-2021 12:24:06
2021-08-21,1:30 PM,3,0,0,0,1,4,08-21-2021 1:40:54
2021-08-21,1:30 PM,3,0,0,0,0,3,08-21-2021 1:46:19
2021-08-23,6:30 PM,2,2,0,3,1,8,08-23-2021 6:26:07
2021-08-23,7:30 PM,1,3,0,1,0,5,08-23-2021 7:34:37
2021-08-23,8:30 PM,1,2,0,0,0,3,08-23-2021 8:30:46
2021-08-24,5:30 PM,14,3,0,3,1,21,08-24-2021 5:26:52
2021-08-24,6:30 PM,2,0,0,1,0,3,08-24-2021 6:26:52
2021-08-24,7:30 PM,3,0,0,1,0,4,08-24-2021 7:28:25
2021-08-24,8:30 PM,1,0,0,1,0,2,08-24-2021 8:26:02
2021-08-25,5:30 PM,6,7,2,3,3,21,08-25-2021 5:37:49
2021-08-25,6:30 PM,3,2,0,2,0,7,08-25-2021 6:40:19
2021-08-25,7:30 PM,1,2,0,2,0,5,08-25-2021 7:30:45
2021-08-25,8:30 PM,1,2,0,1,0,4,08-25-2021 8:33:47
2021-08-26,5:30 PM,2,2,0,2,1,7,08-26-2021 5:33:00
2021-08-26,6:30 PM,0,0,0,1,0,1,08-26-2021 6:29:44
2021-08-26,7:30 PM,0,1,0,2,0,3,08-26-2021 7:32:50
2021-08-26,8:30 PM,0,0,0,2,1,3,08-26-2021 8:32:30
2021-08-28,10:30 AM,0,1,0,1,0,2,08-28-2021 10:30:53
2021-08-28,12:30 PM,4,1,0,2,0,7,08-28-2021 11:31:50
2021-08-28,12:30 PM,4,0,0,2,0,6,08-28-2021 12:30:50
2021-08-28,1:30 PM,4,0,0,2,0,6,08-28-2021 1:31:13
2021-08-30,5:30 PM,9,2,6,3,1,21,08-30-2021 5:32:29
2021-08-30,6:30 PM,3,5,6,2,0,16,08-30-2021 6:34:48
2021-08-30,7:30 PM,2,1,6,2,0,11,08-30-2021 7:34:32
2021-08-30,8:30 PM,1,4,0,1,1,7,08-30-2021 8:30:00
2021-08-31,6:30 PM,2,0,0,1,0,3,08-31-2021 6:28:13
2021-08-31,7:30 PM,0,0,0,1,1,2,08-31-2021 7:23:38
2021-08-31,8:30 PM,0,0,0,0,0,0,08-31-2021 8:28:52
2021-09-01,5:30 PM,6,3,5,2,3,19,09-01-2021 5:33:32
2021-09-01,6:30 PM,0,1,2,1,1,5,09-01-2021 6:27:44
2021-09-01,7:30 PM,0,0,0,2,1,3,09-01-2021 7:33:38
2021-09-02,6:30 PM,6,2,0,2,0,10,09-02-2021 5:31:18
2021-09-02,5:30 PM,6,2,0,2,0,10,09-02-2021 5:32:03
2021-09-02,6:30 PM,3,1,0,0,2,6,09-02-2021 6:32:54
2021-09-02,7:30 PM,2,1,0,0,2,5,09-02-2021 7:29:11
2021-09-02,8:30 PM,1,0,0,1,0,2,09-02-2021 8:30:43
2021-09-04,10:30 AM,0,0,0,0,0,0,09-04-2021 10:29:08
2021-09-04,12:30 PM,0,0,0,1,0,1,09-04-2021 11:52:18
2021-09-04,12:30 PM,1,0,0,1,0,2,09-04-2021 12:25:59
2021-09-04,1:30 PM,0,2,1,0,0,3,09-04-2021 1:27:07
2021-09-07,5:30 PM,6,3,7,5,5,26,09-07-2021 5:32:45
2021-09-07,6:30 PM,3,0,4,1,1,9,09-07-2021 6:29:45
2021-09-07,7:30 PM,2,0,0,1,0,3,09-07-2021 7:49:07
2021-09-07,8:30 PM,1,0,0,0,0,1,09-07-2021 8:28:55
2021-09-08,5:30 PM,12,7,2,3,5,29,09-08-2021 5:30:16
2021-09-08,6:30 PM,2,3,0,2,3,10,09-08-2021 6:31:04
2021-09-08,7:30 PM,1,3,0,3,0,7,09-08-2021 7:28:13
2021-09-08,8:30 PM,1,2,1,2,0,6,09-08-2021 8:29:53
